influencer_name,platform,followers_count,engagement_avg,average_views,average_likes,average_comments,shares_avg
"Ricis Official",YouTube,NULL,NULL,782000,51600,1800,NULL
rossbollinger,TikTok,NULL,NULL,NULL,NULL,NULL,863
rossbollinger,YouTube,NULL,NULL,390900,3400,96,NULL
rsiammusic,TikTok,NULL,NULL,NULL,NULL,NULL,1500
rsiammusic,YouTube,NULL,NULL,8400,306,10,NULL
sadhguru,Instagram,17800000,2500000,NULL,NULL,NULL,NULL
sadhguru,YouTube,NULL,NULL,196700,9600,186,NULL
sagahits,TikTok,NULL,NULL,NULL,NULL,NULL,2200
sagahits,YouTube,NULL,NULL,45300,1200,51,NULL
sbtthenoite,TikTok,NULL,NULL,NULL,NULL,NULL,1700
sbtthenoite,YouTube,NULL,NULL,26400,1400,42,NULL
SebastianYatra,Instagram,9000000,672900,NULL,NULL,NULL,NULL
SebastianYatra,Instagram,5900000,1100000,NULL,NULL,NULL,NULL
SebastianYatra,Instagram,29300000,305600,NULL,NULL,NULL,NULL
SebastianYatra,YouTube,NULL,NULL,1800000,55500,1200,NULL
setindia,Instagram,15600000,998900,NULL,NULL,NULL,NULL
setindia,Instagram,3000000,997800,NULL,NULL,NULL,NULL
setindia,YouTube,NULL,NULL,23600,314,21,NULL
shfa,TikTok,NULL,NULL,NULL,NULL,NULL,29500
shfa,YouTube,NULL,NULL,3600000,52400,NULL,NULL
"Sidhu Moose Wala",Instagram,6900000,445100,NULL,NULL,NULL,NULL
"Sidhu Moose Wala",YouTube,NULL,NULL,3900000,336000,59000,NULL
smosh,Instagram,49000000,1700000,NULL,NULL,NULL,NULL
smosh,YouTube,NULL,NULL,193400,10800,382,NULL
sonyliv,Instagram,11400000,285900,NULL,NULL,NULL,NULL
sonyliv,YouTube,NULL,NULL,3400,56,3,NULL
sonypalindia,Instagram,17500000,389500,NULL,NULL,NULL,NULL
sonypalindia,YouTube,NULL,NULL,12200,220,17,NULL
starplus,Instagram,14900000,231400,NULL,NULL,NULL,NULL
starplus,YouTube,NULL,NULL,348700,8300,68,NULL
Tasty,TikTok,NULL,NULL,NULL,NULL,NULL,8200
Tasty,YouTube,NULL,NULL,251500,7900,239,NULL
TheBrianMaps,Instagram,5800000,627900,NULL,NULL,NULL,NULL
TheBrianMaps,YouTube,NULL,NULL,2600000,314600,12700,NULL
TheEllenShow,Instagram,116800000,33300,NULL,NULL,NULL,NULL
TheEllenShow,YouTube,NULL,NULL,42100,944,54,NULL
theofficialpeppa,TikTok,NULL,NULL,NULL,NULL,NULL,2700
theofficialpeppa,YouTube,NULL,NULL,2000000,9000,NULL,NULL
TheRichest,Instagram,7400000,959800,NULL,NULL,NULL,NULL
TheRichest,YouTube,NULL,NULL,17300,588,45,NULL
TommyInnit,Instagram,3600000,817400,NULL,NULL,NULL,NULL
TommyInnit,TikTok,NULL,NULL,NULL,NULL,NULL,1900
TommyInnit,TikTok,NULL,NULL,NULL,NULL,NULL,1900
TommyInnit,YouTube,NULL,NULL,3400000,294600,14400,NULL
toycantando,Instagram,14600000,261200,NULL,NULL,NULL,NULL
toycantando,YouTube,NULL,NULL,376800,2300,NULL,NULL
tseries,Instagram,10100000,768100,NULL,NULL,NULL,NULL
tseries,TikTok,NULL,NULL,NULL,NULL,NULL,359
tseries,YouTube,NULL,NULL,323700,9800,290,NULL
tv3official,Instagram,24000000,738300,NULL,NULL,NULL,NULL
tv3official,Instagram,61700000,2600000,NULL,NULL,NULL,NULL
tv3official,Instagram,16700000,194800,NULL,NULL,NULL,NULL
tv3official,Instagram,18000000,202400,NULL,NULL,NULL,NULL
tv3official,TikTok,NULL,NULL,NULL,NULL,NULL,19600
tv3official,TikTok,NULL,NULL,NULL,NULL,NULL,1000
tv3official,TikTok,NULL,NULL,NULL,NULL,NULL,3400
tv3official,TikTok,NULL,NULL,NULL,NULL,NULL,936
tv3official,TikTok,NULL,NULL,NULL,NULL,NULL,2300
tv3official,TikTok,NULL,NULL,NULL,NULL,NULL,2700
tv3official,TikTok,NULL,NULL,NULL,NULL,NULL,3600
tv3official,TikTok,NULL,NULL,NULL,NULL,NULL,17600
tv3official,YouTube,NULL,NULL,120500,1400,33,NULL
typicalgamer,Instagram,24600000,1600000,NULL,NULL,NULL,NULL
typicalgamer,Instagram,17500000,3800000,NULL,NULL,NULL,NULL
typicalgamer,YouTube,NULL,NULL,804400,14300,474,NULL
Unspeakable,Instagram,9100000,655900,NULL,NULL,NULL,NULL
Unspeakable,YouTube,NULL,NULL,1900000,39300,2200,NULL
venus,Instagram,52900000,89400,NULL,NULL,NULL,NULL
venus,YouTube,NULL,NULL,67800,790,59,NULL
vice,Instagram,12800000,473300,NULL,NULL,NULL,NULL
vice,TikTok,NULL,NULL,NULL,NULL,NULL,517
vice,YouTube,NULL,NULL,257500,5600,767,NULL
"Virgnia Fonseca",TikTok,NULL,NULL,NULL,NULL,NULL,679
"Virgnia Fonseca",YouTube,NULL,NULL,922600,78600,1400,NULL
Vox,Instagram,5400000,1100000,NULL,NULL,NULL,NULL
Vox,YouTube,NULL,NULL,2300000,69300,3600,NULL
whinderssonnunes,Instagram,57900000,1500000,NULL,NULL,NULL,NULL
whinderssonnunes,YouTube,NULL,NULL,140800,17000,145,NULL
